N,Lag,Abstain_before_CH,Abstain_before_CC,Overall_Abstain,N_CH_events,N_CC_events
5,1,54.4,13.7,23.7,79,614
5,2,50.6,14.8,23.7,79,614
5,3,44.3,15.5,23.7,79,614
5,4,43.0,16.1,23.7,79,614
5,5,36.7,16.9,23.7,79,614
5,6,32.9,17.4,23.7,79,614
5,7,31.6,18.1,23.7,79,614
5,8,34.2,18.6,23.7,79,614
5,9,32.9,18.7,23.7,79,614
5,10,32.9,18.9,23.7,79,614
5,11,36.7,18.6,23.7,79,614
5,12,36.7,18.7,23.7,79,614
5,13,36.7,18.7,23.7,79,614
5,14,41.8,18.1,23.7,79,614
5,15,45.6,17.6,23.7,79,614
5,16,43.0,17.4,23.7,79,614
5,17,43.0,17.1,23.7,79,614
5,18,38.0,17.8,23.7,79,614
5,19,32.9,17.8,23.7,79,614
5,20,26.6,17.9,23.7,79,614
10,1,54.5,30.3,39.9,101,587
10,2,57.4,30.7,39.9,101,587
10,3,56.4,31.5,39.9,101,587
10,4,58.4,31.9,39.9,101,587
10,5,56.4,32.2,39.9,101,587
10,6,59.4,31.3,39.9,101,587
10,7,59.4,33.0,39.9,101,587
10,8,59.4,33.4,39.9,101,587
10,9,59.4,33.4,39.9,101,587
10,10,60.4,33.6,39.9,101,587
10,11,58.4,34.8,39.9,101,587
10,12,59.4,34.2,39.9,101,587
10,13,57.4,34.9,39.9,101,587
10,14,55.4,35.1,39.9,101,587
10,15,51.5,35.8,39.9,101,587
10,16,46.5,36.1,39.9,101,587
10,17,45.5,36.8,39.9,101,587
10,18,43.6,36.8,39.9,101,587
10,19,42.6,36.8,39.9,101,587
10,20,42.6,36.8,39.9,101,587
