N,Model,AUC_pre,AUC_post,Brier_pre,Brier_post
5,RF,0.9039,0.9069,0.1133,0.112
5,HGB,0.8899,0.8886,0.1393,0.1202
5,XGB,0.8971,0.9014,0.1258,0.1164
10,RF,0.8364,0.8485,0.148,0.1415
10,HGB,0.8307,0.8421,0.1691,0.1419
10,XGB,0.8231,0.8459,0.1632,0.1442
15,RF,0.8023,0.8113,0.1631,0.1571
15,HGB,0.7889,0.7976,0.2072,0.1607
15,XGB,0.7603,0.7876,0.2028,0.1667
20,RF,0.795,0.8034,0.1669,0.1632
20,HGB,0.7837,0.7811,0.1999,0.1697
20,XGB,0.7732,0.7794,0.1972,0.1684
25,RF,0.7296,0.7619,0.1871,0.1772
25,HGB,0.7051,0.7464,0.2535,0.1825
25,XGB,0.7106,0.7345,0.2297,0.1848
