N,Threshold,Model,Accuracy,Precision,Recall,Days_Selected,Pct_Selected,Delta_Acc
5,Baseline,Random Forest,82.83,70.76,77.32,996,100.0,0.0
5,t=0.1,Random Forest,87.23,76.92,81.4,869,87.2,4.4
5,t=0.15,Random Forest,88.32,78.75,81.47,805,80.8,5.49
5,t=0.2,Random Forest,89.48,80.31,80.73,713,71.6,6.65
5,t=0.25,Random Forest,91.25,81.95,80.15,583,58.5,8.42
5,Baseline,XGBoost,82.43,71.43,73.48,996,100.0,0.0
5,t=0.1,XGBoost,84.31,72.76,75.63,937,94.1,1.88
5,t=0.15,XGBoost,85.05,74.07,75.19,910,91.4,2.62
5,t=0.2,XGBoost,86.52,76.36,77.25,883,88.7,4.09
5,t=0.25,XGBoost,87.26,76.6,77.59,840,84.3,4.83
10,Baseline,Random Forest,78.09,62.57,75.0,995,100.0,0.0
10,t=0.1,Random Forest,82.14,68.84,77.87,784,78.8,4.05
10,t=0.15,Random Forest,81.98,65.9,75.66,666,66.9,3.89
10,t=0.2,Random Forest,83.79,59.4,73.15,512,51.5,5.7
10,t=0.25,Random Forest,88.68,68.75,75.34,380,38.2,10.59
10,Baseline,XGBoost,75.88,59.84,70.19,995,100.0,0.0
10,t=0.1,XGBoost,78.85,63.19,74.37,903,90.8,2.97
10,t=0.15,XGBoost,80.75,65.56,76.45,857,86.1,4.87
10,t=0.2,XGBoost,82.34,67.52,77.73,804,80.8,6.46
10,t=0.25,XGBoost,83.38,67.07,79.52,752,75.6,7.5
15,Baseline,Random Forest,72.23,54.41,69.45,994,100.0,0.0
15,t=0.1,Random Forest,78.86,60.98,74.26,700,70.4,6.63
15,t=0.15,Random Forest,81.69,64.44,75.32,557,56.0,9.46
15,t=0.2,Random Forest,85.3,71.43,78.26,415,41.8,13.07
15,t=0.25,Random Forest,86.67,70.59,80.0,300,30.2,14.44
15,Baseline,XGBoost,67.4,48.41,63.67,994,100.0,0.0
15,t=0.1,XGBoost,68.31,48.67,64.21,931,93.7,0.91
15,t=0.15,XGBoost,69.24,49.45,65.82,907,91.2,1.84
15,t=0.2,XGBoost,69.71,49.85,65.13,865,87.0,2.31
15,t=0.25,XGBoost,70.35,50.16,64.9,823,82.8,2.95
20,Baseline,Random Forest,69.49,50.79,72.26,993,100.0,0.0
20,t=0.1,Random Forest,75.27,53.82,79.21,639,64.4,5.78
20,t=0.15,Random Forest,78.97,55.49,80.16,504,50.8,9.48
20,t=0.2,Random Forest,84.07,61.68,76.74,383,38.6,14.58
20,t=0.25,Random Forest,87.85,71.43,72.58,288,29.0,18.36
20,Baseline,XGBoost,65.16,46.0,66.77,993,100.0,0.0
20,t=0.1,XGBoost,66.07,46.14,68.64,943,95.0,0.91
20,t=0.15,XGBoost,66.31,46.14,68.21,926,93.3,1.15
20,t=0.2,XGBoost,67.3,46.21,70.11,890,89.6,2.14
20,t=0.25,XGBoost,69.02,47.83,72.43,836,84.2,3.86
25,Baseline,Random Forest,66.03,47.22,77.02,992,100.0,0.0
25,t=0.1,Random Forest,74.68,55.0,81.48,545,54.9,8.65
25,t=0.15,Random Forest,77.22,59.09,77.12,395,39.8,11.19
25,t=0.2,Random Forest,78.93,66.36,76.84,280,28.2,12.9
25,t=0.25,Random Forest,80.42,70.0,81.16,189,19.1,14.39
25,Baseline,XGBoost,67.64,48.69,72.17,992,100.0,0.0
25,t=0.1,XGBoost,68.42,48.35,73.21,931,93.9,0.78
25,t=0.15,XGBoost,69.53,49.01,74.72,896,90.3,1.89
25,t=0.2,XGBoost,70.18,48.92,74.59,845,85.2,2.54
25,t=0.25,XGBoost,70.59,49.25,73.33,782,78.8,2.95
