N,Transition,N_days,Coverage_pct,Accuracy,N_test_ex2022
5,calm_calm,613,87.3,99.6,850
5,calm_high,72,44.4,0.0,850
5,high_calm,77,37.7,24.1,850
5,high_high,88,48.9,100.0,850
10,calm_calm,587,71.6,100.0,845
10,calm_high,93,41.9,0.0,845
10,high_calm,100,15.0,13.3,845
10,high_high,65,24.6,100.0,845
15,calm_calm,579,62.5,100.0,840
15,calm_high,96,39.6,0.0,840
15,high_calm,105,5.7,16.7,840
15,high_high,60,20.0,100.0,840
20,calm_calm,573,45.5,100.0,835
20,calm_high,97,23.7,0.0,835
20,high_calm,106,0.0,,835
20,high_high,59,0.0,,835
25,calm_calm,558,43.4,100.0,830
25,calm_high,107,24.3,0.0,830
25,high_calm,116,0.0,,830
25,high_high,49,0.0,,830
