,Avg_Importance
VIX_SMA10,0.1976124961409085
VIX_SMA20,0.1527997836609092
VIX_BB_UPPER,0.10915867212403352
VIX_BB_LOWER,0.10780376024687514
SP500_DRAWDOWN,0.06749108548628253
SP500_RVOL,0.057223032352766545
FEDFUNDS_CHANGE3M,0.02249402471753867
VIX_BB_STD,0.02244813761132901
SP500_RET20,0.018887129944552068
SP500_MOM20,0.015304787985778133
VIX_BB_POSITION,0.013925401273185105
VIX_MOM10,0.013350991108989867
VIX_TERM_SPREAD,0.013012786801953244
SKEW_LEVEL,0.01241182358132315
SP500_RET5,0.012333965181419921
SP500_MOM10,0.011863725337033471
VIX_MOM20,0.011466221684833426
DXY_RET20,0.011225813743219466
VIX_RSI14,0.010918744271144488
VIX_ROC10,0.010745121073084327
VIX_MA_CROSS,0.009594510105091688
VIX_ROC20,0.009428253831568173
YIELD_CURVE_CHANGE1M,0.009399209518250295
YIELD_CURVE_CHANGE3M,0.009101851835832777
GOLD_RET20,0.00864379478122397
FEDFUNDS_CHANGE1M,0.008548802569467748
TNY_CHANGE20,0.008286004529553836
SKEW_CHANGE20,0.007870475027825008
SKEW_CHANGE5,0.005589352663467657
SP500_RET1,0.005434066293322333
GOLD_RET5,0.005278704482389007
DXY_RET5,0.005222016345448752
TNY_CHANGE5,0.0049956123584543165
TNY_CHANGE1,0.0035609716321871056
DXY_RET1,0.003552902333531239
GOLD_RET1,0.0030159673652262104
