,N=5,N=10,N=20,Avg
VIX_SMA10,0.025892559225892547,-0.000801603206412856,0.0311914323962517,0.01876079613857713
SP500_DRAWDOWN,0.004938271604938264,0.01249164996659983,0.015060240963855462,0.01083005417846452
VIX_BB_LOWER,-0.001267934601267943,0.00033400133600531846,0.016599732262382892,0.005221932999040089
SP500_MOM10,0.0028028028028028134,0.005210420841683342,0.00575635876840701,0.0045898608042977225
SP500_RVOL,0.006272939606272931,0.0008684034736138694,0.0022757697456492845,0.0031390376085120284
SP500_RET20,0.005605605605605612,0.0018036072144288337,0.0007362784471218297,0.0027151637557187584
VIX_BB_POSITION,0.002736069402736067,0.0002672010688042459,0.0028112449799197136,0.0019381718171533422
VIX_ROC20,0.0036036036036036037,0.00253841015364058,-0.0006693440428380197,0.001824223238135388
VIX_MOM20,0.002936269602936255,0.0018036072144288337,-0.0002677376171352108,0.0014907130667432928
SP500_MOM20,0.0037370704037370675,0.0005344021376085436,-0.0010040160642570259,0.0010891521590295284
VIX_TERM_SPREAD,0.0021354688021354576,-0.0016032064128256825,0.0022088353413654894,0.0009136992435584216
YIELD_CURVE_CHANGE3M,0.0026026026026025957,-0.0010688042752171314,0.0012048192771084488,0.0009128725348313043
SKEW_CHANGE5,0.0018018018018017981,-0.00033400133600536286,0.0002677376171352108,0.0005785126943105487
SP500_RET5,0.003136469803136473,-0.0021376085504342408,0.0005354752342704216,0.0005114454956575513
SKEW_LEVEL,0.00186853520186853,0.0018036072144288337,-0.0022757697456492476,0.0004654575568827053
TNY_CHANGE20,0.0012679346012679283,-0.0008016032064128486,0.0008701472556894352,0.0004454928835148383
VIX_MOM10,0.0038705372038705314,-0.006947227788911192,0.0035475234270415435,0.00015694428066696103
GOLD_RET5,0.0014014014014013772,-0.0012692050768203418,0.00033467202141901353,0.00015562278200001632
GOLD_RET1,0.0010677344010677104,-0.0011356045424181893,-6.69344042838027e-05,-4.493484854476053e-05
DXY_RET20,0.0008008008008007827,-0.0002672010688043051,-0.0010709504685408433,-0.00017911691218145523
DXY_RET1,0.0013346680013346527,-0.00046760187040751543,-0.00153949129852744,-0.00022414172253343423
VIX_RSI14,0.0016683350016683121,-0.003406813627254546,0.0010040160642570406,-0.0002448208537763977
TNY_CHANGE1,-0.00046713380046712325,-0.00020040080160322511,-0.00026773761713520344,-0.00031175740640185056
FEDFUNDS_CHANGE3M,0.0018018018018017834,-0.0010020040080160665,-0.002677376171352034,-0.0006258594591887724
VIX_SMA20,-0.003470136803470155,-0.004008016032064155,0.00542168674698796,-0.0006854886961821166
DXY_RET5,-0.0001334668001334712,-0.000467601870407508,-0.0015394912985274326,-0.0007135199896894706
VIX_ROC10,0.004471137804471148,-0.007882431529726156,0.001137884872824646,-0.0007578029508101208
VIX_BB_UPPER,-0.0005338672005338626,-0.005477621910487677,0.0034805890227577185,-0.0008436333627546069
YIELD_CURVE_CHANGE1M,-0.000667334000667319,-0.0032732130928524008,0.0006693440428380344,-0.001090401016893895
TNY_CHANGE5,-0.0001334668001334638,-0.002471609886439574,-0.0012048192771084488,-0.0012699653212271623
VIX_MA_CROSS,0.0002669336002669276,-0.003740814963259879,-0.0006024096385542244,-0.0013587636671823918
SP500_RET1,-0.0006673340006673263,-0.002404809619238509,-0.0014056224899598494,-0.0014925887032885615
VIX_BB_STD,0.0019352686019352694,-0.0033400133600534733,-0.004149933065595687,-0.001851559274571297
SKEW_CHANGE20,0.0,-0.0038744154976620166,-0.003279785809906266,-0.0023847337691894274
GOLD_RET20,-0.0016683350016683121,-0.005477621910487685,-0.0028112449799196546,-0.0033190672973585507
FEDFUNDS_CHANGE1M,0.0003336670003336595,-0.0030728122912491904,-0.007429718875501982,-0.0033896213888058376
