N,ClassWeight,CostRatio,Utility,Coverage
5,1,1,-0.081,76.3
5,1,5,-0.276,76.3
5,1,10,-0.518,76.3
5,1,20,-1.004,76.3
5,5,1,-0.078,75.6
5,5,5,-0.274,75.6
5,5,10,-0.519,75.6
5,5,20,-1.009,75.6
5,10,1,-0.077,73.2
5,10,5,-0.295,73.2
5,10,10,-0.569,73.2
5,10,20,-1.116,73.2
5,20,1,-0.082,62.2
5,20,5,-0.333,62.2
5,20,10,-0.647,62.2
5,20,20,-1.275,62.2
10,1,1,-0.1,60.1
10,1,5,-0.38,60.1
10,1,10,-0.73,60.1
10,1,20,-1.43,60.1
10,5,1,-0.105,58.4
10,5,5,-0.461,58.4
10,5,10,-0.907,58.4
10,5,20,-1.799,58.4
10,10,1,-0.126,55.7
10,10,5,-0.601,55.7
10,10,10,-1.194,55.7
10,10,20,-2.381,55.7
10,20,1,-0.126,57.3
10,20,5,-0.622,57.3
10,20,10,-1.243,57.3
10,20,20,-2.484,57.3
