N,Model,Coverage,Risk
5,RF,0.001,0.0
5,RF,0.01,0.0
5,RF,0.019,0.0
5,RF,0.028,0.0
5,RF,0.037,0.0
5,RF,0.046,0.0
5,RF,0.055,0.0
5,RF,0.064,0.0
5,RF,0.073,0.0
5,RF,0.082,0.0
5,RF,0.091,0.0
5,RF,0.1,0.0
5,RF,0.109,0.0
5,RF,0.118,0.0
5,RF,0.127,0.0
5,RF,0.136,0.0
5,RF,0.145,0.0
5,RF,0.154,0.0
5,RF,0.163,0.0061
5,RF,0.172,0.0058
5,RF,0.181,0.011
5,RF,0.19,0.0105
5,RF,0.199,0.0101
5,RF,0.208,0.0096
5,RF,0.217,0.0092
5,RF,0.226,0.0133
5,RF,0.235,0.0128
5,RF,0.244,0.0123
5,RF,0.253,0.0119
5,RF,0.262,0.0153
5,RF,0.271,0.0185
5,RF,0.28,0.0179
5,RF,0.289,0.0208
5,RF,0.298,0.0235
5,RF,0.307,0.0261
5,RF,0.316,0.0253
5,RF,0.325,0.0246
5,RF,0.334,0.0269
5,RF,0.343,0.0262
5,RF,0.352,0.0256
5,RF,0.361,0.0249
5,RF,0.37,0.0243
5,RF,0.379,0.0237
5,RF,0.388,0.0232
5,RF,0.397,0.0227
5,RF,0.406,0.0222
5,RF,0.415,0.0217
5,RF,0.424,0.0212
5,RF,0.433,0.0208
5,RF,0.442,0.0204
5,RF,0.451,0.0222
5,RF,0.46,0.0217
5,RF,0.469,0.0235
5,RF,0.478,0.023
5,RF,0.487,0.0246
5,RF,0.496,0.0262
5,RF,0.506,0.0257
5,RF,0.515,0.0272
5,RF,0.524,0.0268
5,RF,0.533,0.032
5,RF,0.542,0.0314
5,RF,0.551,0.0309
5,RF,0.56,0.0304
5,RF,0.569,0.0317
5,RF,0.578,0.0329
5,RF,0.587,0.0375
5,RF,0.596,0.0387
5,RF,0.605,0.0397
5,RF,0.614,0.0408
5,RF,0.623,0.0434
5,RF,0.632,0.0523
5,RF,0.641,0.0531
5,RF,0.65,0.0555
5,RF,0.659,0.0547
5,RF,0.668,0.057
5,RF,0.677,0.0577
5,RF,0.686,0.0613
5,RF,0.695,0.0634
5,RF,0.704,0.0669
5,RF,0.713,0.0688
5,RF,0.722,0.0707
5,RF,0.731,0.0753
5,RF,0.74,0.0785
5,RF,0.749,0.0789
5,RF,0.758,0.0819
5,RF,0.767,0.0862
5,RF,0.776,0.089
5,RF,0.785,0.0906
5,RF,0.794,0.0933
5,RF,0.803,0.0948
5,RF,0.812,0.0999
5,RF,0.821,0.1012
5,RF,0.83,0.1049
5,RF,0.839,0.1074
5,RF,0.848,0.111
5,RF,0.857,0.1157
5,RF,0.866,0.1179
5,RF,0.875,0.1213
5,RF,0.884,0.1268
5,RF,0.893,0.13
5,RF,0.902,0.1354
5,RF,0.911,0.1396
5,RF,0.92,0.1404
5,RF,0.929,0.1433
5,RF,0.938,0.143
5,RF,0.947,0.1448
5,RF,0.956,0.1476
5,RF,0.965,0.1515
5,RF,0.974,0.1572
5,RF,0.983,0.1599
5,RF,0.992,0.1625
5,HGB,0.001,0.0
5,HGB,0.01,0.0
5,HGB,0.019,0.0
5,HGB,0.028,0.0
5,HGB,0.037,0.0
5,HGB,0.046,0.0
5,HGB,0.055,0.0
5,HGB,0.064,0.0
5,HGB,0.073,0.0
5,HGB,0.082,0.0
5,HGB,0.091,0.011
5,HGB,0.1,0.01
5,HGB,0.109,0.0092
5,HGB,0.118,0.0085
5,HGB,0.127,0.0079
5,HGB,0.136,0.0147
5,HGB,0.145,0.0138
5,HGB,0.154,0.013
5,HGB,0.163,0.0184
5,HGB,0.172,0.0174
5,HGB,0.181,0.0166
5,HGB,0.19,0.0158
5,HGB,0.199,0.0151
5,HGB,0.208,0.0144
5,HGB,0.217,0.0184
5,HGB,0.226,0.0177
5,HGB,0.235,0.017
5,HGB,0.244,0.0164
5,HGB,0.253,0.0198
5,HGB,0.262,0.0191
5,HGB,0.271,0.0185
5,HGB,0.28,0.0214
5,HGB,0.289,0.0242
5,HGB,0.298,0.0235
5,HGB,0.307,0.0228
5,HGB,0.316,0.0222
5,HGB,0.325,0.0215
5,HGB,0.334,0.024
5,HGB,0.343,0.0233
5,HGB,0.352,0.0227
5,HGB,0.361,0.0222
5,HGB,0.37,0.0243
5,HGB,0.379,0.0264
5,HGB,0.388,0.0284
5,HGB,0.397,0.0302
5,HGB,0.406,0.0296
5,HGB,0.415,0.0313
5,HGB,0.424,0.033
5,HGB,0.433,0.0346
5,HGB,0.442,0.0339
5,HGB,0.451,0.0333
5,HGB,0.46,0.0348
5,HGB,0.469,0.0341
5,HGB,0.478,0.0356
5,HGB,0.487,0.037
5,HGB,0.496,0.0383
5,HGB,0.506,0.0396
5,HGB,0.515,0.0447
5,HGB,0.524,0.0459
5,HGB,0.533,0.047
5,HGB,0.542,0.0481
5,HGB,0.551,0.0509
5,HGB,0.56,0.0537
5,HGB,0.569,0.0546
5,HGB,0.578,0.0607
5,HGB,0.587,0.0666
5,HGB,0.596,0.0672
5,HGB,0.605,0.0679
5,HGB,0.614,0.0701
5,HGB,0.623,0.0707
5,HGB,0.632,0.0713
5,HGB,0.641,0.0719
5,HGB,0.65,0.074
5,HGB,0.659,0.0745
5,HGB,0.668,0.075
5,HGB,0.677,0.0769
5,HGB,0.686,0.0788
5,HGB,0.695,0.0793
5,HGB,0.704,0.0853
5,HGB,0.713,0.0871
5,HGB,0.722,0.0929
5,HGB,0.731,0.0945
5,HGB,0.74,0.1001
5,HGB,0.749,0.1016
5,HGB,0.758,0.1017
5,HGB,0.767,0.1031
5,HGB,0.776,0.1071
5,HGB,0.785,0.1135
5,HGB,0.794,0.1185
5,HGB,0.803,0.1197
5,HGB,0.812,0.1184
5,HGB,0.821,0.1195
5,HGB,0.83,0.1218
5,HGB,0.839,0.1241
5,HGB,0.848,0.1251
5,HGB,0.857,0.1273
5,HGB,0.866,0.1295
5,HGB,0.875,0.1293
5,HGB,0.884,0.1359
5,HGB,0.893,0.139
5,HGB,0.902,0.1398
5,HGB,0.911,0.1451
5,HGB,0.92,0.148
5,HGB,0.929,0.1519
5,HGB,0.938,0.1526
5,HGB,0.947,0.1533
5,HGB,0.956,0.155
5,HGB,0.965,0.1577
5,HGB,0.974,0.1593
5,HGB,0.983,0.1609
5,HGB,0.992,0.1635
5,XGB,0.001,0.0
5,XGB,0.01,0.0
5,XGB,0.019,0.0
5,XGB,0.028,0.0
5,XGB,0.037,0.0
5,XGB,0.046,0.0
5,XGB,0.055,0.0
5,XGB,0.064,0.0
5,XGB,0.073,0.0
