VIX_Threshold,N,Model,Base_Accuracy,Sel_Accuracy,Delta_Acc,Days_Selected,Pct_Selected
18,5,Random Forest,83.94,91.76,7.82,558,56.0
18,5,XGBoost,81.83,87.04,5.22,795,79.8
18,10,Random Forest,77.89,89.66,11.77,522,52.5
18,10,XGBoost,78.59,84.01,5.41,794,79.8
18,15,Random Forest,74.95,87.24,12.29,384,38.6
18,15,XGBoost,73.24,78.49,5.25,730,73.4
18,20,Random Forest,73.31,87.62,14.3,323,32.5
18,20,XGBoost,69.79,76.8,7.01,694,69.9
18,25,Random Forest,63.41,83.52,20.11,267,26.9
18,25,XGBoost,65.32,71.49,6.17,670,67.5
20,5,Random Forest,82.93,92.04,9.11,716,71.9
20,5,XGBoost,83.84,86.28,2.45,882,88.6
20,10,Random Forest,78.69,86.22,7.53,566,56.9
20,10,XGBoost,79.6,83.87,4.27,812,81.6
20,15,Random Forest,74.65,83.93,9.28,417,42.0
20,15,XGBoost,73.24,78.57,5.33,756,76.1
20,20,Random Forest,73.01,87.38,14.37,404,40.7
20,20,XGBoost,73.51,78.93,5.42,750,75.5
20,25,Random Forest,72.88,79.79,6.91,292,29.4
20,25,XGBoost,70.16,72.06,1.9,723,72.9
22,5,Random Forest,85.94,95.9,9.96,708,71.1
22,5,XGBoost,86.14,89.77,3.63,880,88.4
22,10,Random Forest,81.01,92.2,11.2,590,59.3
22,10,XGBoost,82.21,87.89,5.68,826,83.0
22,15,Random Forest,80.18,92.37,12.19,472,47.5
22,15,XGBoost,77.06,86.51,9.44,704,70.8
22,20,Random Forest,78.75,88.76,10.01,427,43.0
22,20,XGBoost,79.46,83.54,4.08,820,82.6
22,25,Random Forest,77.92,86.75,8.83,453,45.7
22,25,XGBoost,75.71,80.86,5.16,810,81.7
