Feature,MeanAbsSHAP,Category,Rank,N
VIX_SMA10,0.08881930495699791,VIX technical,1,5
VIX_SMA20,0.06240709466125762,VIX technical,2,5
VIX_BB_UPPER,0.05031497017880913,VIX technical,3,5
VIX_BB_LOWER,0.03923526003098582,VIX technical,4,5
SP500_DRAWDOWN,0.02983281095110371,S&P 500,5,5
SP500_RVOL,0.01635091883455159,S&P 500,6,5
SP500_MOM10,0.01522110106799199,S&P 500,7,5
VIX_BB_POSITION,0.01429719310165517,VIX technical,8,5
VIX_MOM20,0.013112279145365252,VIX technical,9,5
VIX_RSI14,0.010232963092134785,VIX technical,10,5
VIX_MOM10,0.009029562523210593,VIX technical,11,5
SP500_RET20,0.007578092408244189,S&P 500,12,5
VIX_ROC20,0.007421657214553923,VIX technical,13,5
VIX_ROC10,0.007324936345239723,VIX technical,14,5
SP500_RET5,0.007146404672082233,S&P 500,15,5
FEDFUNDS_CHANGE3M,0.004807190435537837,Macro,16,5
SP500_MOM20,0.00459918339572778,S&P 500,17,5
FEDFUNDS_CHANGE1M,0.004068324313582474,Macro,18,5
VIX_BB_STD,0.0039845557647073225,VIX technical,19,5
SKEW_LEVEL,0.003638954713163018,SKEW,20,5
VIX_MA_CROSS,0.0031010918207667656,VIX technical,21,5
DXY_RET20,0.002998978959996364,Cross-asset,22,5
GOLD_RET20,0.0029392376094280123,Cross-asset,23,5
YIELD_CURVE_CHANGE3M,0.0024304802051603657,Macro,24,5
SP500_RET1,0.0024093585960996773,S&P 500,25,5
YIELD_CURVE_CHANGE1M,0.002386773417515088,Macro,26,5
SKEW_CHANGE20,0.002281185975521147,SKEW,27,5
VIX_TERM_SPREAD,0.0021392780251815453,VIX technical,28,5
GOLD_RET5,0.0020277766140054014,Cross-asset,29,5
SKEW_CHANGE5,0.001975073596060099,SKEW,30,5
TNY_CHANGE20,0.0018591295433140196,Cross-asset,31,5
TNY_CHANGE5,0.0018013320118549672,Cross-asset,32,5
DXY_RET5,0.0016617478430449991,Cross-asset,33,5
TNY_CHANGE1,0.0013322559118377271,Cross-asset,34,5
GOLD_RET1,0.0012460850623361003,Cross-asset,35,5
DXY_RET1,0.001174474292633437,Cross-asset,36,5
VIX_SMA10,0.06863396164224009,VIX technical,1,10
VIX_SMA20,0.05519317412829892,VIX technical,2,10
VIX_BB_UPPER,0.04278032660575648,VIX technical,3,10
VIX_BB_LOWER,0.03861289758700004,VIX technical,4,10
SP500_DRAWDOWN,0.030424676024771054,S&P 500,5,10
SP500_RVOL,0.016004833558497366,S&P 500,6,10
SP500_MOM20,0.014125983810031453,S&P 500,7,10
VIX_BB_POSITION,0.013033569539214342,VIX technical,8,10
SP500_MOM10,0.012180730561716962,S&P 500,9,10
FEDFUNDS_CHANGE3M,0.011380737856320822,Macro,10,10
VIX_MOM10,0.010132028444415934,VIX technical,11,10
VIX_RSI14,0.009658547314132467,VIX technical,12,10
VIX_MOM20,0.009496014386271016,VIX technical,13,10
SP500_RET5,0.008787866509946061,S&P 500,14,10
VIX_ROC20,0.008646250981323062,VIX technical,15,10
VIX_ROC10,0.007297609121359812,VIX technical,16,10
FEDFUNDS_CHANGE1M,0.005948951181763048,Macro,17,10
SP500_RET20,0.005751156293376412,S&P 500,18,10
GOLD_RET20,0.005239961614018245,Cross-asset,19,10
YIELD_CURVE_CHANGE1M,0.004837898785131988,Macro,20,10
DXY_RET20,0.004705247976549812,Cross-asset,21,10
SKEW_LEVEL,0.004488296765502087,SKEW,22,10
VIX_BB_STD,0.004436807369500157,VIX technical,23,10
TNY_CHANGE5,0.0036485785835137126,Cross-asset,24,10
SKEW_CHANGE20,0.0031053709893639272,SKEW,25,10
GOLD_RET5,0.0030775860727382275,Cross-asset,26,10
VIX_MA_CROSS,0.0029586609585538015,VIX technical,27,10
YIELD_CURVE_CHANGE3M,0.0027278827853288285,Macro,28,10
SP500_RET1,0.0026434401108687768,S&P 500,29,10
DXY_RET5,0.002464074128564597,Cross-asset,30,10
SKEW_CHANGE5,0.0022376162297370827,SKEW,31,10
VIX_TERM_SPREAD,0.002104810525853064,VIX technical,32,10
TNY_CHANGE20,0.0017244106259792155,Cross-asset,33,10
GOLD_RET1,0.0011583082933022632,Cross-asset,34,10
TNY_CHANGE1,0.0011215916999112042,Cross-asset,35,10
DXY_RET1,0.0009551570192844862,Cross-asset,36,10
