Model,N,Threshold,Base_Acc,Sel_Acc,Delta,Pct_Days,N_Days
Random Forest,5,0.05,83.88,84.57,0.68,97.3,972
Random Forest,5,0.1,83.88,86.45,2.57,90.9,908
Random Forest,5,0.15,83.88,88.25,4.37,85.2,851
Random Forest,5,0.2,83.88,88.77,4.88,82.9,828
Random Forest,5,0.25,83.88,91.06,7.18,78.4,783
Random Forest,5,0.3,83.88,92.52,8.63,73.6,735
Random Forest,5,0.35,83.88,95.08,11.2,67.2,671
Random Forest,5,0.4,83.88,97.55,13.67,49.0,490
XGBoost,5,0.05,82.88,83.47,0.59,98.1,980
XGBoost,5,0.1,82.88,85.26,2.37,93.7,936
XGBoost,5,0.15,82.88,86.16,3.28,89.7,896
XGBoost,5,0.2,82.88,88.5,5.61,85.3,852
XGBoost,5,0.25,82.88,90.67,7.79,79.4,793
XGBoost,5,0.3,82.88,93.16,10.28,68.8,687
XGBoost,5,0.35,82.88,97.23,14.34,50.6,505
XGBoost,5,0.4,82.88,97.87,14.99,42.3,423
Random Forest,10,0.05,80.36,81.82,1.46,94.8,946
Random Forest,10,0.1,80.36,83.19,2.83,90.6,904
Random Forest,10,0.15,80.36,84.38,4.02,86.0,858
Random Forest,10,0.2,80.36,86.61,6.25,78.6,784
Random Forest,10,0.25,80.36,88.78,8.42,70.5,704
Random Forest,10,0.3,80.36,91.64,11.28,58.7,586
Random Forest,10,0.35,80.36,95.05,14.69,42.5,424
Random Forest,10,0.4,80.36,97.4,17.04,15.4,154
XGBoost,10,0.05,78.86,81.16,2.3,95.2,950
XGBoost,10,0.1,78.86,83.54,4.68,88.9,887
XGBoost,10,0.15,78.86,87.08,8.22,79.9,797
XGBoost,10,0.2,78.86,89.31,10.45,71.2,711
XGBoost,10,0.25,78.86,90.98,12.13,61.1,610
XGBoost,10,0.3,78.86,95.11,16.25,47.1,470
XGBoost,10,0.35,78.86,95.64,16.78,29.9,298
XGBoost,10,0.4,78.86,96.38,17.52,13.8,138
Random Forest,15,0.05,79.14,81.62,2.48,90.6,903
Random Forest,15,0.1,79.14,84.06,4.93,82.4,822
Random Forest,15,0.15,79.14,85.79,6.65,76.2,760
Random Forest,15,0.2,79.14,88.39,9.26,67.4,672
Random Forest,15,0.25,79.14,89.98,10.85,58.1,579
Random Forest,15,0.3,79.14,91.15,12.01,49.8,497
Random Forest,15,0.35,79.14,93.27,14.13,31.3,312
Random Forest,15,0.4,79.14,93.18,14.04,30.9,308
XGBoost,15,0.05,76.83,80.35,3.52,90.9,906
XGBoost,15,0.1,76.83,82.65,5.82,80.3,801
XGBoost,15,0.15,76.83,84.04,7.21,72.9,727
XGBoost,15,0.2,76.83,85.52,8.69,65.1,649
XGBoost,15,0.25,76.83,87.68,10.85,54.6,544
XGBoost,15,0.3,76.83,94.04,17.21,37.0,369
Random Forest,20,0.05,78.92,79.57,0.66,93.9,935
Random Forest,20,0.1,78.92,83.35,4.44,83.8,835
Random Forest,20,0.15,78.92,86.12,7.21,70.2,699
Random Forest,20,0.2,78.92,89.56,10.65,59.6,594
Random Forest,20,0.25,78.92,90.87,11.96,50.6,504
Random Forest,20,0.3,78.92,93.21,14.29,36.9,368
Random Forest,20,0.35,78.92,92.08,13.16,30.4,303
Random Forest,20,0.4,78.92,91.7,12.79,24.2,241
XGBoost,20,0.05,73.19,80.7,7.51,83.2,829
XGBoost,20,0.1,73.19,86.89,13.7,68.2,679
XGBoost,20,0.15,73.19,88.81,15.62,57.4,572
XGBoost,20,0.2,73.19,91.26,18.07,47.1,469
XGBoost,20,0.25,73.19,92.07,18.88,35.4,353
XGBoost,20,0.3,73.19,100.0,26.81,5.2,52
Random Forest,25,0.05,76.78,78.87,2.08,92.3,918
Random Forest,25,0.1,76.78,81.2,4.41,80.7,803
Random Forest,25,0.15,76.78,84.24,7.45,59.3,590
Random Forest,25,0.2,76.78,86.92,10.13,45.3,451
Random Forest,25,0.25,76.78,91.13,14.35,32.9,327
Random Forest,25,0.3,76.78,90.94,14.15,31.1,309
Random Forest,25,0.35,76.78,90.54,13.76,29.7,296
Random Forest,25,0.4,76.78,91.18,14.39,20.5,204
XGBoost,25,0.05,74.37,77.26,2.89,86.6,862
XGBoost,25,0.1,74.37,78.8,4.43,82.0,816
XGBoost,25,0.15,74.37,85.42,11.04,62.7,624
XGBoost,25,0.2,74.37,89.52,15.15,42.2,420
XGBoost,25,0.25,74.37,92.5,18.13,24.1,240
