N,Transition,N_Days,N_Covered,Coverage,Accuracy,Precision,Recall
5,calm→calm,614,535,87.1,99.63,0.0,0.0
5,calm→high,79,36,45.6,0.0,0.0,0.0
5,high→calm,84,30,35.7,23.33,0.0,0.0
5,high→high,222,161,72.5,99.38,100.0,99.38
10,calm→calm,587,420,71.6,100.0,0.0,0.0
10,calm→high,101,42,41.6,0.0,0.0,0.0
10,high→calm,111,20,18.0,10.0,0.0,0.0
10,high→high,199,118,59.3,100.0,100.0,100.0
15,calm→calm,579,362,62.5,100.0,0.0,0.0
15,calm→high,104,40,38.5,0.0,0.0,0.0
15,high→calm,119,12,10.1,8.33,0.0,0.0
15,high→high,195,97,49.7,100.0,100.0,100.0
20,calm→calm,573,261,45.5,100.0,0.0,0.0
20,calm→high,105,23,21.9,0.0,0.0,0.0
20,high→calm,125,0,0.0,,,
20,high→high,193,32,16.6,100.0,100.0,100.0
25,calm→calm,558,242,43.4,100.0,0.0,0.0
25,calm→high,115,26,22.6,0.0,0.0,0.0
25,high→calm,140,0,0.0,,,
25,high→high,182,0,0.0,,,
