Model,N,Threshold,Base_Acc,Sel_Acc,Delta,Pct_Days,N_Days
Random Forest,5,0.4,83.88,97.55,13.67,49.0,490
Random Forest,10,0.4,80.36,97.4,17.04,15.4,154
Random Forest,15,0.35,79.14,93.27,14.13,31.3,312
Random Forest,20,0.3,78.92,93.21,14.29,36.9,368
Random Forest,25,0.4,76.78,91.18,14.39,20.5,204
XGBoost,5,0.4,82.88,97.87,14.99,42.3,423
XGBoost,10,0.4,78.86,96.38,17.52,13.8,138
XGBoost,15,0.3,76.83,94.04,17.21,37.0,369
XGBoost,20,0.3,73.19,100.0,26.81,5.2,52
XGBoost,25,0.25,74.37,92.5,18.13,24.1,240
