N,Model,Accuracy,Precision,Recall
5,Logistic Regression,80.22,63.74,85.94
5,Decision Tree,81.93,74.01,65.5
5,Random Forest,83.03,71.82,75.72
5,SVM,69.48,100.0,2.88
5,XGBoost,82.43,71.43,73.48
10,Logistic Regression,64.02,45.86,81.73
10,Decision Tree,65.83,46.65,62.5
10,Random Forest,78.09,62.77,74.04
10,SVM,69.25,87.5,2.24
10,XGBoost,75.88,59.84,70.19
15,Logistic Regression,56.04,40.06,81.67
15,Decision Tree,62.37,41.86,52.09
15,Random Forest,73.04,55.61,68.49
15,SVM,69.32,87.5,2.25
15,XGBoost,67.4,48.41,63.67
20,Logistic Regression,51.56,37.3,80.97
20,Decision Tree,55.39,39.12,77.1
20,Random Forest,69.49,50.81,70.65
20,SVM,69.18,75.0,1.94
20,XGBoost,65.16,46.0,66.77
25,Logistic Regression,50.81,36.54,78.64
25,Decision Tree,63.51,44.37,67.64
25,Random Forest,66.83,47.93,74.76
25,SVM,68.25,12.5,0.32
25,XGBoost,67.64,48.69,72.17
