N,Transition,Days,Coverage,Acc_covered,SelAcc,PersAcc,CovFrac,BalAcc
5,exp→exp,999,1.0,1.0,1.0,1.0,1.0,0.5
5,exp→rec,0,0.0,,1.0,1.0,1.0,0.5
5,rec→rec,0,0.0,,1.0,1.0,1.0,0.5
5,rec→exp,0,0.0,,1.0,1.0,1.0,0.5
10,exp→exp,998,1.0,1.0,1.0,1.0,1.0,0.5
10,exp→rec,0,0.0,,1.0,1.0,1.0,0.5
10,rec→rec,0,0.0,,1.0,1.0,1.0,0.5
10,rec→exp,0,0.0,,1.0,1.0,1.0,0.5
15,exp→exp,997,1.0,1.0,1.0,1.0,1.0,0.5
15,exp→rec,0,0.0,,1.0,1.0,1.0,0.5
15,rec→rec,0,0.0,,1.0,1.0,1.0,0.5
15,rec→exp,0,0.0,,1.0,1.0,1.0,0.5
20,exp→exp,996,1.0,1.0,1.0,1.0,1.0,0.5
20,exp→rec,0,0.0,,1.0,1.0,1.0,0.5
20,rec→rec,0,0.0,,1.0,1.0,1.0,0.5
20,rec→exp,0,0.0,,1.0,1.0,1.0,0.5
25,exp→exp,995,1.0,1.0,1.0,1.0,1.0,0.5
25,exp→rec,0,0.0,,1.0,1.0,1.0,0.5
25,rec→rec,0,0.0,,1.0,1.0,1.0,0.5
25,rec→exp,0,0.0,,1.0,1.0,1.0,0.5
