VIX_Threshold,N,Model,Base_Accuracy,Sel_Accuracy,Delta_Acc,Days_Selected,Pct_Selected
18,5,Random Forest,85.19,90.62,5.44,693,69.4
18,5,XGBoost,80.88,90.03,9.15,632,63.3
18,10,Random Forest,78.36,89.69,11.33,572,57.3
18,10,XGBoost,73.95,93.38,19.43,317,31.8
18,15,Random Forest,75.93,90.72,14.79,334,33.5
18,15,XGBoost,70.81,99.21,28.4,127,12.7
18,20,Random Forest,71.89,94.21,22.33,121,12.1
18,20,XGBoost,65.76,88.14,22.37,177,17.8
18,25,Random Forest,64.82,50.0,-14.82,10,1.0
18,25,XGBoost,61.71,97.7,35.99,87,8.7
20,5,Random Forest,83.38,91.86,8.48,762,76.3
20,5,XGBoost,83.18,92.11,8.93,710,71.1
20,10,Random Forest,79.46,90.0,10.54,600,60.1
20,10,XGBoost,78.66,92.22,13.56,630,63.1
20,15,Random Forest,76.23,90.02,13.79,511,51.3
20,15,XGBoost,70.91,92.2,21.29,359,36.0
20,20,Random Forest,76.81,92.72,15.91,316,31.7
20,20,XGBoost,72.59,94.76,22.17,267,26.8
20,25,Random Forest,73.37,90.3,16.93,268,26.9
20,25,XGBoost,66.13,92.67,26.54,191,19.2
22,5,Random Forest,87.99,95.5,7.51,778,77.9
22,5,XGBoost,85.99,94.13,8.15,733,73.4
22,10,Random Forest,83.97,94.27,10.3,663,66.4
22,10,XGBoost,84.17,93.22,9.05,678,67.9
22,15,Random Forest,83.65,91.5,7.85,718,72.0
22,15,XGBoost,80.14,90.42,10.28,710,71.2
22,20,Random Forest,81.73,90.86,9.14,602,60.4
22,20,XGBoost,78.82,87.35,8.53,648,65.1
22,25,Random Forest,80.3,88.57,8.27,595,59.8
22,25,XGBoost,77.19,85.41,8.22,706,71.0
