N,Threshold,Model,Accuracy,Precision,Recall,Days_Selected,Pct_Selected
5,Baseline,Random Forest,83.23,74.17,71.57,996,100.0
5,Baseline,XGBoost,83.73,74.92,72.52,996,100.0
5,0.1,Random Forest,79.28,75.98,78.16,391,39.3
5,0.1,XGBoost,80.56,77.84,78.74,391,39.3
5,0.2,Random Forest,76.81,76.61,77.98,332,33.3
5,0.2,XGBoost,78.61,78.7,79.17,332,33.3
5,0.3,Random Forest,75.28,75.64,80.27,271,27.2
5,0.3,XGBoost,77.86,78.06,82.31,271,27.2
10,Baseline,Random Forest,79.2,66.25,68.59,995,100.0
10,Baseline,XGBoost,78.59,64.95,68.91,995,100.0
10,0.1,Random Forest,72.41,67.22,70.76,395,39.7
10,0.1,XGBoost,71.14,66.1,68.42,395,39.7
10,0.2,Random Forest,70.03,66.67,72.96,337,33.9
10,0.2,XGBoost,67.95,65.09,69.18,337,33.9
10,0.3,Random Forest,68.73,66.46,76.09,275,27.6
10,0.3,XGBoost,66.91,65.16,73.19,275,27.6
15,Baseline,Random Forest,76.96,62.81,64.63,994,100.0
15,Baseline,XGBoost,75.25,59.31,66.56,994,100.0
15,0.1,Random Forest,73.18,66.67,69.51,399,40.1
15,0.1,XGBoost,71.18,64.0,68.29,399,40.1
15,0.2,Random Forest,71.35,67.07,71.43,342,34.4
15,0.2,XGBoost,69.59,65.24,69.48,342,34.4
15,0.3,Random Forest,70.92,69.18,73.19,282,28.4
15,0.3,XGBoost,70.92,69.72,71.74,282,28.4
20,Baseline,Random Forest,77.44,63.52,65.16,993,100.0
20,Baseline,XGBoost,75.43,60.58,60.97,993,100.0
20,0.1,Random Forest,74.63,68.0,64.97,406,40.9
20,0.1,XGBoost,73.4,66.9,61.78,406,40.9
20,0.2,Random Forest,74.06,69.23,68.28,347,34.9
20,0.2,XGBoost,72.62,68.12,64.83,347,34.9
20,0.3,Random Forest,73.43,71.65,69.47,286,28.8
20,0.3,XGBoost,72.03,71.07,65.65,286,28.8
25,Baseline,Random Forest,75.2,59.94,61.49,992,100.0
25,Baseline,XGBoost,74.5,58.54,62.14,992,100.0
25,0.1,Random Forest,69.61,58.04,56.46,408,41.1
25,0.1,XGBoost,70.83,58.86,63.27,408,41.1
25,0.2,Random Forest,67.71,59.7,57.55,350,35.3
25,0.2,XGBoost,68.57,59.86,63.31,350,35.3
25,0.3,Random Forest,67.01,62.39,58.87,288,29.0
25,0.3,XGBoost,67.01,61.07,64.52,288,29.0
