N,Model,Base_Acc,Sel_Acc,Gain,Coverage,Precision,Recall,F1,Bal_Acc
5,Random Forest,83.38,91.86,8.48,76.3,86.49,81.22,83.77,88.4
5,XGBoost,83.18,92.11,8.93,71.1,88.69,80.11,84.18,88.24
10,Random Forest,79.46,90.0,10.54,60.1,86.76,73.75,79.73,84.83
10,XGBoost,78.66,92.22,13.56,63.1,92.68,74.03,82.31,86.07
15,Random Forest,76.23,90.02,13.79,51.3,89.81,70.8,79.18,83.93
15,XGBoost,70.91,92.2,21.29,36.0,92.0,82.14,86.79,89.45
20,Random Forest,76.81,92.72,15.91,31.7,100.0,58.18,73.56,79.09
20,XGBoost,72.59,94.76,22.17,26.8,100.0,68.18,81.08,84.09
25,Random Forest,73.37,90.3,16.93,26.9,0.0,0.0,0.0,50.0
25,XGBoost,66.13,92.67,26.54,19.2,0.0,0.0,0.0,50.0
